Année de Year Date;Adjusted for Inflation Notes;Adjusted for Inflation Title;Format;Metric;Year;Value (For Charting);Adjusted for Inflation Flag;Year Date;Format Value # (Billion);Format Value # (Million);Total Value # (Billion);Total Value # (Million);Total Value For Year;Value (Actual);Year (copy)
2016;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;On-Demand Streaming (Ad-Supported);Value (Adjusted);2016;605,3; (adjusted for inflation, 2023 dollars);2016;;€605,3M;€9,5B;;€9510,9B;605,3;2016
2017;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;On-Demand Streaming (Ad-Supported);Value (Adjusted);2017;763,6; (adjusted for inflation, 2023 dollars);2017;;€763,6M;€10,6B;;€10570,2B;763,6;2017
2018;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;On-Demand Streaming (Ad-Supported);Value (Adjusted);2018;913,3; (adjusted for inflation, 2023 dollars);2018;;€913,3M;€11,8B;;€11816,7B;913,3;2018
2019;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;On-Demand Streaming (Ad-Supported);Value (Adjusted);2019;1199,7; (adjusted for inflation, 2023 dollars);2019;€1,2B;;€13,2B;;€13248,7B;1199,7;2019
2020;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;On-Demand Streaming (Ad-Supported);Value (Adjusted);2020;1408,8; (adjusted for inflation, 2023 dollars);2020;€1,4B;;€14,3B;;€14326,3B;1408,8;2020
2021;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;On-Demand Streaming (Ad-Supported);Value (Adjusted);2021;1949,2; (adjusted for inflation, 2023 dollars);2021;€1,9B;;€16,9B;;€16893,6B;1949,2;2021
2022;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;On-Demand Streaming (Ad-Supported);Value (Adjusted);2022;1897,1; (adjusted for inflation, 2023 dollars);2022;€1,9B;;€16,5B;;€16547,4B;1897,1;2022
2023;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;On-Demand Streaming (Ad-Supported);Value (Adjusted);2023;1864,5; (adjusted for inflation, 2023 dollars);2023;€1,9B;;€17,1B;;€17115,2B;1864,5;2023
2016;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Other Ad-Supported Streaming;Value (Adjusted);2016;89,7; (adjusted for inflation, 2023 dollars);2016;;€89,7M;€9,5B;;€9510,9B;89,7;2016
2017;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Other Ad-Supported Streaming;Value (Adjusted);2017;278,4; (adjusted for inflation, 2023 dollars);2017;;€278,4M;€10,6B;;€10570,2B;278,4;2017
2018;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Other Ad-Supported Streaming;Value (Adjusted);2018;252,6; (adjusted for inflation, 2023 dollars);2018;;€252,6M;€11,8B;;€11816,7B;252,6;2018
2019;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Other Ad-Supported Streaming;Value (Adjusted);2019;247,1; (adjusted for inflation, 2023 dollars);2019;;€247,1M;€13,2B;;€13248,7B;247,1;2019
2020;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Other Ad-Supported Streaming;Value (Adjusted);2020;248,7; (adjusted for inflation, 2023 dollars);2020;;€248,7M;€14,3B;;€14326,3B;248,7;2020
2021;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Other Ad-Supported Streaming;Value (Adjusted);2021;228,8; (adjusted for inflation, 2023 dollars);2021;;€228,8M;€16,9B;;€16893,6B;228,8;2021
2022;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Other Ad-Supported Streaming;Value (Adjusted);2022;272,2; (adjusted for inflation, 2023 dollars);2022;;€272,2M;€16,5B;;€16547,4B;272,2;2022
2023;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Other Ad-Supported Streaming;Value (Adjusted);2023;317,7; (adjusted for inflation, 2023 dollars);2023;;€317,7M;€17,1B;;€17115,2B;317,7;2023
2016;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Other Digital;Value (Adjusted);2016;21,8; (adjusted for inflation, 2023 dollars);2016;;€21,8M;€9,5B;;€9510,9B;21,8;2016
2017;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Other Digital;Value (Adjusted);2017;21; (adjusted for inflation, 2023 dollars);2017;;€21,0M;€10,6B;;€10570,2B;21;2017
2018;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Other Digital;Value (Adjusted);2018;24,1; (adjusted for inflation, 2023 dollars);2018;;€24,1M;€11,8B;;€11816,7B;24,1;2018
2019;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Other Digital;Value (Adjusted);2019;25,6; (adjusted for inflation, 2023 dollars);2019;;€25,6M;€13,2B;;€13248,7B;25,6;2019
2020;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Other Digital;Value (Adjusted);2020;22,2; (adjusted for inflation, 2023 dollars);2020;;€22,2M;€14,3B;;€14326,3B;22,2;2020
2021;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Other Digital;Value (Adjusted);2021;35; (adjusted for inflation, 2023 dollars);2021;;€35,0M;€16,9B;;€16893,6B;35;2021
2022;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Other Digital;Value (Adjusted);2022;27; (adjusted for inflation, 2023 dollars);2022;;€27,0M;€16,5B;;€16547,4B;27;2022
2023;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Other Digital;Value (Adjusted);2023;28,1; (adjusted for inflation, 2023 dollars);2023;;€28,1M;€17,1B;;€17115,2B;28,1;2023
2023;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Other Physical;Value (Adjusted);2023;5,7; (adjusted for inflation, 2023 dollars);2023;;€5,7M;€17,1B;;€17115,2B;5,7;2023
1973;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Other Tapes;Value (Adjusted);1973;107,1; (adjusted for inflation, 2023 dollars);1973;;€107,1M;€13,8B;;€13839,3B;107,1;1973
1974;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Other Tapes;Value (Adjusted);1974;82,2; (adjusted for inflation, 2023 dollars);1974;;€82,2M;€13,6B;;€13595,4B;82,2;1974
1975;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Other Tapes;Value (Adjusted);1975;57,8; (adjusted for inflation, 2023 dollars);1975;;€57,8M;€13,5B;;€13527,7B;57,8;1975
1976;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Other Tapes;Value (Adjusted);1976;27,3; (adjusted for inflation, 2023 dollars);1976;;€27,3M;€14,7B;;€14657,2B;27,3;1976
2005;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Paid Subscription;Value (Adjusted);2005;232,8; (adjusted for inflation, 2023 dollars);2005;;€232,8M;€19,2B;;€19174,4B;232,8;2005
2006;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Paid Subscription;Value (Adjusted);2006;311,7; (adjusted for inflation, 2023 dollars);2006;;€311,7M;€17,8B;;€17773,5B;311,7;2006
2007;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Paid Subscription;Value (Adjusted);2007;343,9; (adjusted for inflation, 2023 dollars);2007;;€343,9M;€15,7B;;€15652,2B;343,9;2007
2008;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Paid Subscription;Value (Adjusted);2008;313,3; (adjusted for inflation, 2023 dollars);2008;;€313,3M;€12,4B;;€12421,1B;313,3;2008
2009;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Paid Subscription;Value (Adjusted);2009;292,9; (adjusted for inflation, 2023 dollars);2009;;€292,9M;€11,1B;;€11122,4B;292,9;2009
2010;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Paid Subscription;Value (Adjusted);2010;296,8; (adjusted for inflation, 2023 dollars);2010;;€296,8M;€9,8B;;€9800,8B;296,8;2010
2011;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Paid Subscription;Value (Adjusted);2011;335,7; (adjusted for inflation, 2023 dollars);2011;;€335,7M;€9,7B;;€9665,7B;335,7;2011
2012;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Paid Subscription;Value (Adjusted);2012;530,7; (adjusted for inflation, 2023 dollars);2012;;€530,7M;€9,3B;;€9310,9B;530,7;2012
2013;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Paid Subscription;Value (Adjusted);2013;841,5; (adjusted for inflation, 2023 dollars);2013;;€841,5M;€9,2B;;€9201,8B;841,5;2013
2014;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Paid Subscription;Value (Adjusted);2014;991,4; (adjusted for inflation, 2023 dollars);2014;;€991,4M;€8,6B;;€8616,8B;991,4;2014
2015;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Paid Subscription;Value (Adjusted);2015;1487; (adjusted for inflation, 2023 dollars);2015;€1,5B;;€8,6B;;€8627,1B;1487;2015
2016;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Paid Subscription;Value (Adjusted);2016;2775,8; (adjusted for inflation, 2023 dollars);2016;€2,8B;;€9,5B;;€9510,9B;2775,8;2016
2017;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Paid Subscription;Value (Adjusted);2017;4176,4; (adjusted for inflation, 2023 dollars);2017;€4,2B;;€10,6B;;€10570,2B;4176,4;2017
2018;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Paid Subscription;Value (Adjusted);2018;5598,8; (adjusted for inflation, 2023 dollars);2018;€5,6B;;€11,8B;;€11816,7B;5598,8;2018
2019;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Paid Subscription;Value (Adjusted);2019;7239,9; (adjusted for inflation, 2023 dollars);2019;€7,2B;;€13,2B;;€13248,7B;7239,9;2019
2020;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Paid Subscription;Value (Adjusted);2020;8184,8; (adjusted for inflation, 2023 dollars);2020;€8,2B;;€14,3B;;€14326,3B;8184,8;2020
2021;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Paid Subscription;Value (Adjusted);2021;9628,8; (adjusted for inflation, 2023 dollars);2021;€9,6B;;€16,9B;;€16893,6B;9628,8;2021
2022;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Paid Subscription;Value (Adjusted);2022;9556,9; (adjusted for inflation, 2023 dollars);2022;€9,6B;;€16,5B;;€16547,4B;9556,9;2022
2023;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Paid Subscription;Value (Adjusted);2023;10149,7; (adjusted for inflation, 2023 dollars);2023;€10,1B;;€17,1B;;€17115,2B;10149,7;2023
2005;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Ringtones & Ringbacks;Value (Adjusted);2005;657,8; (adjusted for inflation, 2023 dollars);2005;;€657,8M;€19,2B;;€19174,4B;657,8;2005
2006;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Ringtones & Ringbacks;Value (Adjusted);2006;1169,5; (adjusted for inflation, 2023 dollars);2006;€1,2B;;€17,8B;;€17773,5B;1169,5;2006
2007;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Ringtones & Ringbacks;Value (Adjusted);2007;1551,6; (adjusted for inflation, 2023 dollars);2007;€1,6B;;€15,7B;;€15652,2B;1551,6;2007
2008;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Ringtones & Ringbacks;Value (Adjusted);2008;1382,8; (adjusted for inflation, 2023 dollars);2008;€1,4B;;€12,4B;;€12421,1B;1382,8;2008
2009;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Ringtones & Ringbacks;Value (Adjusted);2009;998,2; (adjusted for inflation, 2023 dollars);2009;;€998,2M;€11,1B;;€11122,4B;998,2;2009
2010;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Ringtones & Ringbacks;Value (Adjusted);2010;626; (adjusted for inflation, 2023 dollars);2010;;€626,0M;€9,8B;;€9800,8B;626;2010
2011;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Ringtones & Ringbacks;Value (Adjusted);2011;374,1; (adjusted for inflation, 2023 dollars);2011;;€374,1M;€9,7B;;€9665,7B;374,1;2011
2012;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Ringtones & Ringbacks;Value (Adjusted);2012;193,8; (adjusted for inflation, 2023 dollars);2012;;€193,8M;€9,3B;;€9310,9B;193,8;2012
2013;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Ringtones & Ringbacks;Value (Adjusted);2013;128,2; (adjusted for inflation, 2023 dollars);2013;;€128,2M;€9,2B;;€9201,8B;128,2;2013
2014;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Ringtones & Ringbacks;Value (Adjusted);2014;85,3; (adjusted for inflation, 2023 dollars);2014;;€85,3M;€8,6B;;€8616,8B;85,3;2014
2015;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Ringtones & Ringbacks;Value (Adjusted);2015;70,2; (adjusted for inflation, 2023 dollars);2015;;€70,2M;€8,6B;;€8627,1B;70,2;2015
2016;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Ringtones & Ringbacks;Value (Adjusted);2016;71,5; (adjusted for inflation, 2023 dollars);2016;;€71,5M;€9,5B;;€9510,9B;71,5;2016
2017;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Ringtones & Ringbacks;Value (Adjusted);2017;44,1; (adjusted for inflation, 2023 dollars);2017;;€44,1M;€10,6B;;€10570,2B;44,1;2017
2018;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Ringtones & Ringbacks;Value (Adjusted);2018;30,3; (adjusted for inflation, 2023 dollars);2018;;€30,3M;€11,8B;;€11816,7B;30,3;2018
2019;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Ringtones & Ringbacks;Value (Adjusted);2019;24,6; (adjusted for inflation, 2023 dollars);2019;;€24,6M;€13,2B;;€13248,7B;24,6;2019
2020;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Ringtones & Ringbacks;Value (Adjusted);2020;23,8; (adjusted for inflation, 2023 dollars);2020;;€23,8M;€14,3B;;€14326,3B;23,8;2020
2021;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Ringtones & Ringbacks;Value (Adjusted);2021;17,6; (adjusted for inflation, 2023 dollars);2021;;€17,6M;€16,9B;;€16893,6B;17,6;2021
2022;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Ringtones & Ringbacks;Value (Adjusted);2022;11,5; (adjusted for inflation, 2023 dollars);2022;;€11,5M;€16,5B;;€16547,4B;11,5;2022
2023;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Ringtones & Ringbacks;Value (Adjusted);2023;10,5; (adjusted for inflation, 2023 dollars);2023;;€10,5M;€17,1B;;€17115,2B;10,5;2023
2003;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SACD;Value (Adjusted);2003;43,6; (adjusted for inflation, 2023 dollars);2003;;€43,6M;€19,6B;;€19630,7B;43,6;2003
2004;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SACD;Value (Adjusted);2004;26,8; (adjusted for inflation, 2023 dollars);2004;;€26,8M;€19,9B;;€19913,0B;26,8;2004
2005;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SACD;Value (Adjusted);2005;15,6; (adjusted for inflation, 2023 dollars);2005;;€15,6M;€19,2B;;€19174,4B;15,6;2005
2006;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SACD;Value (Adjusted);2006;8,3; (adjusted for inflation, 2023 dollars);2006;;€8,3M;€17,8B;;€17773,5B;8,3;2006
2007;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SACD;Value (Adjusted);2007;5,3; (adjusted for inflation, 2023 dollars);2007;;€5,3M;€15,7B;;€15652,2B;5,3;2007
2008;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SACD;Value (Adjusted);2008;4,4; (adjusted for inflation, 2023 dollars);2008;;€4,4M;€12,4B;;€12421,1B;4,4;2008
2009;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SACD;Value (Adjusted);2009;3,4; (adjusted for inflation, 2023 dollars);2009;;€3,4M;€11,1B;;€11122,4B;3,4;2009
2010;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SACD;Value (Adjusted);2010;2,4; (adjusted for inflation, 2023 dollars);2010;;€2,4M;€9,8B;;€9800,8B;2,4;2010
2011;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SACD;Value (Adjusted);2011;2; (adjusted for inflation, 2023 dollars);2011;;€2,0M;€9,7B;;€9665,7B;2;2011
2012;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SACD;Value (Adjusted);2012;1,8; (adjusted for inflation, 2023 dollars);2012;;€1,8M;€9,3B;;€9310,9B;1,8;2012
2013;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SACD;Value (Adjusted);2013;1,3; (adjusted for inflation, 2023 dollars);2013;;€1,3M;€9,2B;;€9201,8B;1,3;2013
2014;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SACD;Value (Adjusted);2014;1; (adjusted for inflation, 2023 dollars);2014;;€1,0M;€8,6B;;€8616,8B;1;2014
2015;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SACD;Value (Adjusted);2015;1,3; (adjusted for inflation, 2023 dollars);2015;;€1,3M;€8,6B;;€8627,1B;1,3;2015
2016;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SACD;Value (Adjusted);2016;1,5; (adjusted for inflation, 2023 dollars);2016;;€1,5M;€9,5B;;€9510,9B;1,5;2016
2017;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SACD;Value (Adjusted);2017;1,1; (adjusted for inflation, 2023 dollars);2017;;€1,1M;€10,6B;;€10570,2B;1,1;2017
2018;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SACD;Value (Adjusted);2018;1; (adjusted for inflation, 2023 dollars);2018;;€1,0M;€11,8B;;€11816,7B;1;2018
2019;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SACD;Value (Adjusted);2019;0,5; (adjusted for inflation, 2023 dollars);2019;;€0,5M;€13,2B;;€13248,7B;0,5;2019
2020;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SACD;Value (Adjusted);2020;0,3; (adjusted for inflation, 2023 dollars);2020;;€0,3M;€14,3B;;€14326,3B;0,3;2020
2021;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SACD;Value (Adjusted);2021;0,2; (adjusted for inflation, 2023 dollars);2021;;€0,2M;€16,9B;;€16893,6B;0,2;2021
2022;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SACD;Value (Adjusted);2022;0,2; (adjusted for inflation, 2023 dollars);2022;;€0,2M;€16,5B;;€16547,4B;0,2;2022
2004;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SoundExchange Distributions;Value (Adjusted);2004;11,1; (adjusted for inflation, 2023 dollars);2004;;€11,1M;€19,9B;;€19913,0B;11,1;2004
2005;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SoundExchange Distributions;Value (Adjusted);2005;31,8; (adjusted for inflation, 2023 dollars);2005;;€31,8M;€19,2B;;€19174,4B;31,8;2005
2006;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SoundExchange Distributions;Value (Adjusted);2006;49,6; (adjusted for inflation, 2023 dollars);2006;;€49,6M;€17,8B;;€17773,5B;49,6;2006
2007;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SoundExchange Distributions;Value (Adjusted);2007;53,2; (adjusted for inflation, 2023 dollars);2007;;€53,2M;€15,7B;;€15652,2B;53,2;2007
2008;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SoundExchange Distributions;Value (Adjusted);2008;141,5; (adjusted for inflation, 2023 dollars);2008;;€141,5M;€12,4B;;€12421,1B;141,5;2008
2009;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SoundExchange Distributions;Value (Adjusted);2009;220,9; (adjusted for inflation, 2023 dollars);2009;;€220,9M;€11,1B;;€11122,4B;220,9;2009
2010;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SoundExchange Distributions;Value (Adjusted);2010;348,2; (adjusted for inflation, 2023 dollars);2010;;€348,2M;€9,8B;;€9800,8B;348,2;2010
2011;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SoundExchange Distributions;Value (Adjusted);2011;395,5; (adjusted for inflation, 2023 dollars);2011;;€395,5M;€9,7B;;€9665,7B;395,5;2011
2012;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SoundExchange Distributions;Value (Adjusted);2012;613,1; (adjusted for inflation, 2023 dollars);2012;;€613,1M;€9,3B;;€9310,9B;613,1;2012
2013;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SoundExchange Distributions;Value (Adjusted);2013;772,2; (adjusted for inflation, 2023 dollars);2013;;€772,2M;€9,2B;;€9201,8B;772,2;2013
2014;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SoundExchange Distributions;Value (Adjusted);2014;995,4; (adjusted for inflation, 2023 dollars);2014;;€995,4M;€8,6B;;€8616,8B;995,4;2014
2015;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SoundExchange Distributions;Value (Adjusted);2015;1031,8; (adjusted for inflation, 2023 dollars);2015;€1,0B;;€8,6B;;€8627,1B;1031,8;2015
2016;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SoundExchange Distributions;Value (Adjusted);2016;1122,2; (adjusted for inflation, 2023 dollars);2016;€1,1B;;€9,5B;;€9510,9B;1122,2;2016
2017;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SoundExchange Distributions;Value (Adjusted);2017;810,5; (adjusted for inflation, 2023 dollars);2017;;€810,5M;€10,6B;;€10570,2B;810,5;2017
2018;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SoundExchange Distributions;Value (Adjusted);2018;1156,2; (adjusted for inflation, 2023 dollars);2018;€1,2B;;€11,8B;;€11816,7B;1156,2;2018
2019;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SoundExchange Distributions;Value (Adjusted);2019;1082,4; (adjusted for inflation, 2023 dollars);2019;€1,1B;;€13,2B;;€13248,7B;1082,4;2019
2020;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SoundExchange Distributions;Value (Adjusted);2020;1115,4; (adjusted for inflation, 2023 dollars);2020;€1,1B;;€14,3B;;€14326,3B;1115,4;2020
2021;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SoundExchange Distributions;Value (Adjusted);2021;1116,1; (adjusted for inflation, 2023 dollars);2021;€1,1B;;€16,9B;;€16893,6B;1116,1;2021
2022;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SoundExchange Distributions;Value (Adjusted);2022;998,9; (adjusted for inflation, 2023 dollars);2022;;€998,9M;€16,5B;;€16547,4B;998,9;2022
2023;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;SoundExchange Distributions;Value (Adjusted);2023;1004,8; (adjusted for inflation, 2023 dollars);2023;€1,0B;;€17,1B;;€17115,2B;1004,8;2023
2009;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Synchronization;Value (Adjusted);2009;285,8; (adjusted for inflation, 2023 dollars);2009;;€285,8M;€11,1B;;€11122,4B;285,8;2009
